 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0608                                       Jan  8  01:22     Jan 16  06:04    
        Jan 23  05:05     Jan 29  20:49     Feb  6  19:51     Feb 14  21:37    
        Feb 21  14:33     Feb 28  10:28     Mar  7  13:39     Mar 15  08:56    
        Mar 21  23:20     Mar 29  01:53     Apr  6  05:43     Apr 13  16:31    
        Apr 20  08:09 T   Apr 27  18:28     May  5  19:22 p   May 12  21:39    
        May 19  17:41     May 27  11:37     Jun  4  06:28     Jun 11  01:55    
        Jun 18  04:32     Jun 26  04:46     Jul  3  15:29     Jul 10  06:55    
        Jul 17  17:13     Jul 25  21:09     Aug  1  23:24     Aug  8  14:04    
        Aug 16  08:05     Aug 24  12:01     Aug 31  07:20     Sep  7  00:26    
        Sep 15  01:03     Sep 23  00:50     Sep 29  16:19     Oct  6  14:39    
        Oct 14  19:14 A   Oct 22  11:35     Oct 29  02:55 p   Nov  5  08:43    
        Nov 13  13:09     Nov 20  20:43     Nov 27  15:17     Dec  5  05:48    
        Dec 13  05:20     Dec 20  04:59     Dec 27  05:19                      
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0609                                                         Jan  4  04:01    
        Jan 11  19:04     Jan 18  13:14     Jan 25  20:50     Feb  3  00:51    
        Feb 10  06:26     Feb 16  22:06     Feb 24  13:32     Mar  4  18:17    
        Mar 11  15:59     Mar 18  08:11     Mar 26  06:40 n   Apr  3  07:31    
        Apr 10  00:16 T   Apr 16  19:54     Apr 24  23:05 n   May  2  16:54    
        May  9  07:55     May 16  09:38     May 24  13:47     May 31  23:30    
        Jun  7  15:41     Jun 15  01:26     Jun 23  02:20     Jun 30  04:35    
        Jul  7  00:32     Jul 14  18:51     Jul 22  13:08     Jul 29  09:26    
        Aug  5  11:35     Aug 13  12:57     Aug 20  22:58     Aug 27  15:24    
        Sep  4  01:39     Sep 12  06:33     Sep 19  08:37 n   Sep 25  23:46    
        Oct  3  18:48 A   Oct 11  22:43     Oct 18  18:38 n   Oct 25  11:37    
        Nov  2  13:55     Nov 10  12:51     Nov 17  05:11     Nov 24  03:32    
        Dec  2  09:11     Dec 10  00:39     Dec 16  16:22     Dec 23  23:01    
 Year      New Moon       First Quarter       Full Moon       Last Quarter 
 0610   Jan  1  02:56     Jan  8  10:09     Jan 15  04:25     Jan 22  20:21    
        Jan 30  18:14     Feb  6  17:51     Feb 13  17:41     Feb 21  17:12    
        Mar  1  06:52     Mar  8  00:39     Mar 15  08:13 p   Mar 23  11:44    
        Mar 30  17:00 T   Apr  6  07:44     Apr 13  23:37     Apr 22  03:02    
        Apr 29  01:05     May  5  16:15     May 13  15:08     May 21  15:00    
        May 28  07:55     Jun  4  03:06     Jun 12  06:08     Jun 20  00:04    
        Jun 26  14:35     Jul  3  16:47     Jul 11  20:17     Jul 19  06:55    
        Jul 25  22:22     Aug  2  09:09     Aug 10  09:34     Aug 17  12:34    
        Aug 24  08:27     Sep  1  03:38     Sep  8  22:03 p   Sep 15  18:19    
        Sep 22  21:35 A   Sep 30  23:11     Oct  8  09:48     Oct 15  01:35    
        Oct 22  13:48     Oct 30  18:32     Nov  6  20:54     Nov 13  11:40    
        Nov 21  08:21     Nov 29  12:11     Dec  6  07:33     Dec 13  01:13    
        Dec 21  03:52     Dec 29  02:49                                        
